Variant,Brand,Status,Message
Mercedes-Benz EQA 250+,Mercedes-Benz,Failed,"
Invalid `prisma.variant.create()` invocation:


Unique constraint failed on the fields: (`slug`)"
DS N°8 FWD Long Range,DS,Imported,
Tesla Model S Performance,Tesla,Failed,"
Invalid `prisma.variant.create()` invocation:


Unique constraint failed on the fields: (`slug`)"
Tesla Model Y,Tesla,Imported,
CUPRA Tavascan VZ,CUPRA,Imported,
Smart #1 Pro+,Smart,Failed,"
Invalid `prisma.model.upsert()` invocation:


Unique constraint failed on the fields: (`slug`)"
BMW i4 eDrive35,BMW,Imported,
Mercedes-Benz EQS 450+,Mercedes-Benz,Failed,"
Invalid `prisma.variant.create()` invocation:


Unique constraint failed on the fields: (`slug`)"
Polestar 2 Long Range Single Motor,Polestar,Failed,"
Invalid `prisma.variant.create()` invocation:


Unique constraint failed on the fields: (`slug`)"
Tesla Model S 85D,Tesla,Imported,
Kia EV6 GT,Kia,Failed,"
Invalid `prisma.variant.create()` invocation:


Unique constraint failed on the fields: (`slug`)"
Volkswagen ID.7 Tourer Pro,Volkswagen,Imported,
Smart #1 Brabus,Smart,Imported,
Volkswagen e-Up!,Volkswagen,Failed,"
Invalid `prisma.variant.create()` invocation:


Unique constraint failed on the fields: (`slug`)"
Tesla Model S Long Range,Tesla,Imported,
Nissan e-NV200 Evalia,Nissan,Failed,"
Invalid `prisma.variant.create()` invocation:


Unique constraint failed on the fields: (`slug`)"
Polestar 4 Long Range Single Motor,Polestar,Imported,
Tesla Model 3 Long Range Dual Motor,Tesla,Imported,
Porsche Taycan 4S,Porsche,Failed,"
Invalid `prisma.variant.create()` invocation:


Unique constraint failed on the fields: (`slug`)"
MG MG4 Electric 77 kWh,MG,Imported,
Volvo EX30 Single Motor,Volvo,Imported,
XPENG G6 RWD Standard Range,XPENG,Imported,
Volkswagen ID. Buzz Pro,Volkswagen,Imported,
Peugeot e-208 51 kWh,Peugeot,Failed,"
Invalid `prisma.variant.create()` invocation:


Unique constraint failed on the fields: (`slug`)"
Polestar 4 Long Range Dual Motor,Polestar,Imported,
Volvo EX30 Twin Motor Performance,Volvo,Imported,
Lotus Eletre,Lotus,Imported,
Volkswagen ID.5 Pro,Volkswagen,Failed,"
Invalid `prisma.variant.create()` invocation:


Unique constraint failed on the fields: (`slug`)"
Volvo EX40 Single Motor ER,Volvo,Failed,"
Invalid `prisma.variant.create()` invocation:


Unique constraint failed on the fields: (`slug`)"
Hyundai IONIQ 5 N,Hyundai,Imported,
Renault Megane E-Tech EV60 220hp,Renault,Imported,
Tesla Model Y Long Range Dual Motor,Tesla,Imported,
XPENG G9 RWD Long Range,XPENG,Imported,
Audi e-tron GT quattro,Audi,Imported,
Peugeot e-2008 SUV,Peugeot,Failed,"
Invalid `prisma.variant.create()` invocation:


Unique constraint failed on the fields: (`slug`)"
Renault Twingo Electric,Renault,Imported,
Volkswagen ID.3 Pro,Volkswagen,Failed,"
Invalid `prisma.variant.create()` invocation:


Unique constraint failed on the fields: (`slug`)"
Skoda Elroq 50,Skoda,Imported,
Hyundai IONIQ 6 Long Range AWD,Hyundai,Imported,
Honda e,Honda,Imported,
Kia EV6 Long Range 2WD,Kia,Imported,
BYD TANG,BYD,Imported,
Dacia Spring Electric 45,Dacia,Imported,
Opel Grandland 73 kWh,Opel,Imported,
BMW iX xDrive45,BMW,Imported,
Mercedes-Benz EQE 350+,Mercedes-Benz,Failed,"
Invalid `prisma.model.upsert()` invocation:


Unique constraint failed on the fields: (`slug`)"
Zeekr 001 Performance AWD,Zeekr,Imported,
Hyundai IONIQ 5 84 kWh AWD,Hyundai,Imported,
Lexus RZ 450e,Lexus,Imported,
Polestar 2 Long Range Dual Motor,Polestar,Failed,"
Invalid `prisma.variant.create()` invocation:


Unique constraint failed on the fields: (`slug`)"
Tesla Model Y Long Range AWD Launch Series,Tesla,Imported,
Kia EV4 Sedan Long Range,Kia,Imported,
Opel Astra Electric,Opel,Imported,
Nissan Leaf e+,Nissan,Failed,"
Invalid `prisma.variant.create()` invocation:


Unique constraint failed on the fields: (`slug`)"
Hyundai IONIQ 5 63 kWh RWD,Hyundai,Imported,
Peugeot e-2008 54 kWh,Peugeot,Imported,
Mini Cooper SE,Mini,Failed,"
Invalid `prisma.variant.create()` invocation:


Unique constraint failed on the fields: (`slug`)"
CUPRA Born 170 kW - 77 kWh,CUPRA,Failed,"
Invalid `prisma.variant.create()` invocation:


Unique constraint failed on the fields: (`slug`)"
CUPRA Tavascan Endurance,CUPRA,Imported,
Skoda Enyaq iV 60,Skoda,Imported,
Peugeot e-5008 73 kWh,Peugeot,Imported,
Hyundai IONIQ 6 Standard Range 2WD,Hyundai,Imported,
Hyundai IONIQ 5 Long Range 2WD,Hyundai,Failed,"
Invalid `prisma.variant.create()` invocation:


Unique constraint failed on the fields: (`slug`)"
Lucid Air Grand Touring,Lucid,Imported,
Volkswagen ID.4 Pure,Volkswagen,Failed,"
Invalid `prisma.variant.create()` invocation:


Unique constraint failed on the fields: (`slug`)"
Toyota bZ4X AWD,Toyota,Imported,
Volkswagen ID.3 Pro S,Volkswagen,Failed,"
Invalid `prisma.variant.create()` invocation:


Unique constraint failed on the fields: (`slug`)"
Tesla Model S P100D,Tesla,Imported,
Hyundai IONIQ 5 Long Range AWD,Hyundai,Failed,"
Invalid `prisma.variant.create()` invocation:


Unique constraint failed on the fields: (`slug`)"
BMW i7 xDrive60,BMW,Imported,
Zeekr 001 Long Range RWD,Zeekr,Imported,
Tesla Model S 85,Tesla,Imported,
Mazda MX-30,Mazda,Failed,"
Invalid `prisma.variant.create()` invocation:


Unique constraint failed on the fields: (`slug`)"
Tesla Model X 100D,Tesla,Imported,
BYD SEAL U 71.8 kWh Comfort,BYD,Imported,
Volkswagen ID.7 Tourer Pro S,Volkswagen,Imported,
Audi Q6 e-tron quattro,Audi,Imported,
Audi Q8 e-tron 55 quattro,Audi,Imported,
Opel Mokka-e 50 kWh,Opel,Imported,
MG Cyberster GT,MG,Imported,
BMW iX xDrive60,BMW,Imported,
Omoda E5,Omoda,Imported,
Ford Explorer Standard Range RWD,Ford,Imported,
Polestar 2 Long Range Single Motor,Polestar,Failed,"
Invalid `prisma.variant.create()` invocation:


Unique constraint failed on the fields: (`slug`)"
Citroen e-C3 Aircross,Citroen,Imported,
Dacia Spring Electric 45,Dacia,Failed,"
Invalid `prisma.variant.create()` invocation:


Unique constraint failed on the fields: (`slug`)"
Peugeot e-208,Peugeot,Failed,"
Invalid `prisma.variant.create()` invocation:


Unique constraint failed on the fields: (`slug`)"
Tesla Model 3 Performance,Tesla,Imported,
Peugeot e-3008 73 kWh,Peugeot,Imported,
Leapmotor C10,Leapmotor,Imported,
Porsche Macan 4 Electric,Porsche,Imported,
NIO ET5 Long Range,NIO,Imported,
Nissan Leaf,Nissan,Failed,"
Invalid `prisma.variant.create()` invocation:


Unique constraint failed on the fields: (`slug`)"
DS N°8 AWD Long Range,DS,Imported,
Kia EV4 Hatchback Long Range,Kia,Imported,
MG ZS EV,MG,Imported,
Tesla Model S 100D,Tesla,Imported,
Hyundai INSTER Standard Range,Hyundai,Imported,
Ford Capri Extended Range AWD,Ford,Imported,
Kia EV9 99.8 kWh AWD,Kia,Imported,
NIO EL7 Long Range,NIO,Imported,
Hyundai IONIQ Electric,Hyundai,Imported,
BMW i4 eDrive35,BMW,Failed,"
Invalid `prisma.variant.create()` invocation:


Unique constraint failed on the fields: (`slug`)"
Hyundai IONIQ 5 Standard Range 2WD,Hyundai,Imported,
Peugeot e-3008 97 kWh Long Range,Peugeot,Imported,
Citroen e-C4,Citroen,Failed,"
Invalid `prisma.variant.create()` invocation:


Unique constraint failed on the fields: (`slug`)"
Jeep Avenger Electric,Jeep,Imported,
MG MG5 Electric Long Range,MG,Imported,
Hongqi E-HS9 99 kWh,Hongqi,Imported,
Mercedes-Benz CLA 350 4MATIC,Mercedes-Benz,Imported,
Voyah Free 106 kWh,Voyah,Imported,
Mercedes-Benz G 580,Mercedes-Benz,Imported,
MG MG4 Electric 51 kWh,MG,Imported,
Smart #5 Brabus,Smart,Imported,
Smart EQ fortwo coupe,Smart,Failed,"
Invalid `prisma.variant.create()` invocation:


Unique constraint failed on the fields: (`slug`)"
BMW i4 M50,BMW,Failed,"
Invalid `prisma.variant.create()` invocation:


Unique constraint failed on the fields: (`slug`)"
Tesla Model 3 Performance,Tesla,Failed,"
Invalid `prisma.variant.create()` invocation:


Unique constraint failed on the fields: (`slug`)"
Honda e:Ny1,Honda,Imported,
Audi Q4 e-tron 40,Audi,Failed,"
Invalid `prisma.variant.create()` invocation:


Unique constraint failed on the fields: (`slug`)"
Dongfeng Box 42.3 kWh,Dongfeng,Imported,
Volkswagen ID.4 Pro Performance,Volkswagen,Imported,
BMW iX xDrive50,BMW,Imported,
Hyundai Kona Electric 64 kWh,Hyundai,Failed,"
Invalid `prisma.variant.create()` invocation:


Unique constraint failed on the fields: (`slug`)"
Tesla Model 3 Long Range Dual Motor,Tesla,Failed,"
Invalid `prisma.variant.create()` invocation:


Unique constraint failed on the fields: (`slug`)"
BMW i5 eDrive40 Sedan,BMW,Failed,"
Invalid `prisma.variant.create()` invocation:


Unique constraint failed on the fields: (`slug`)"
Opel Corsa-e,Opel,Failed,"
Invalid `prisma.variant.create()` invocation:


Unique constraint failed on the fields: (`slug`)"
Volkswagen ID.3 Pure,Volkswagen,Imported,
Skoda Elroq 85,Skoda,Imported,
Volkswagen ID.4 Pro,Volkswagen,Failed,"
Invalid `prisma.variant.create()` invocation:


Unique constraint failed on the fields: (`slug`)"
Tesla Model 3 Long Range Dual Motor,Tesla,Failed,"
Invalid `prisma.variant.create()` invocation:


Unique constraint failed on the fields: (`slug`)"
BYD DOLPHIN 60.4 kWh,BYD,Imported,
BYD SEAL 61.4 kWh RWD Comfort,BYD,Imported,
Tesla Model Y Performance,Tesla,Imported,
Ford Capri Standard Range RWD,Ford,Imported,
Volvo EX30 Single Motor ER,Volvo,Imported,
Kia Niro EV,Kia,Imported,
BMW iX xDrive40,BMW,Imported,
Tesla Model S Plaid,Tesla,Imported,
Mercedes-Benz EQS 450+,Mercedes-Benz,Failed,"
Invalid `prisma.variant.create()` invocation:


Unique constraint failed on the fields: (`slug`)"
BYD SEALION 7 91.3 kWh AWD Excellence,BYD,Imported,
BYD HAN,BYD,Imported,
Audi e-tron 55 quattro,Audi,Failed,"
Invalid `prisma.variant.create()` invocation:


Unique constraint failed on the fields: (`slug`)"
Hyundai INSTER Long Range,Hyundai,Imported,
Skoda Elroq 60,Skoda,Imported,
Hyundai Kona Electric 65 kWh,Hyundai,Imported,
Volkswagen e-Golf,Volkswagen,Failed,"
Invalid `prisma.variant.create()` invocation:


Unique constraint failed on the fields: (`slug`)"
BMW iX1 xDrive30,BMW,Imported,
Tesla Model 3 Standard Range Plus,Tesla,Imported,
Citroen e-C3,Citroen,Imported,
Nissan Leaf,Nissan,Failed,"
Invalid `prisma.variant.create()` invocation:


Unique constraint failed on the fields: (`slug`)"
BYD TANG Flagship,BYD,Imported,
Hyundai IONIQ 5 84 kWh RWD,Hyundai,Imported,
Tesla Model 3 Standard Range Plus,Tesla,Failed,"
Invalid `prisma.variant.create()` invocation:


Unique constraint failed on the fields: (`slug`)"
Fiat 500e Hatchback 42 kWh,Fiat,Imported,
Volkswagen ID.7 Pro S,Volkswagen,Imported,
Tesla Model 3 Standard Range Plus LFP,Tesla,Imported,
XPENG G6 RWD Long Range,XPENG,Imported,
Nissan Ariya 87kWh,Nissan,Imported,
Kia EV6 Long Range 2WD,Kia,Failed,"
Invalid `prisma.variant.create()` invocation:


Unique constraint failed on the fields: (`slug`)"
Fiat Grande Panda,Fiat,Imported,
Audi A6 Avant e-tron performance,Audi,Imported,
Skoda Enyaq 85,Skoda,Imported,
Kia EV9 99.8 kWh RWD,Kia,Imported,
Kia EV6 Long Range AWD,Kia,Failed,"
Invalid `prisma.variant.create()` invocation:


Unique constraint failed on the fields: (`slug`)"
Hyundai IONIQ 6 Long Range 2WD,Hyundai,Imported,
Tesla Model S 75D,Tesla,Imported,
Kia e-Niro 64 kWh,Kia,Failed,"
Invalid `prisma.variant.create()` invocation:


Unique constraint failed on the fields: (`slug`)"
Smart #5 Premium,Smart,Imported,
BYD SEAL U 87 kWh Design,BYD,Imported,
BYD SEAL 82.5 kWh RWD Design,BYD,Imported,
Audi A6 Sportback e-tron performance,Audi,Imported,
firefly firefly,firefly,Imported,
Audi e-tron 50 quattro,Audi,Failed,"
Invalid `prisma.variant.create()` invocation:


Unique constraint failed on the fields: (`slug`)"
BMW i4 eDrive40,BMW,Imported,
Audi Q4 e-tron 45,Audi,Imported,
Volkswagen ID.3 Pro,Volkswagen,Failed,"
Invalid `prisma.variant.create()` invocation:


Unique constraint failed on the fields: (`slug`)"
Renault 4 E-Tech 52kWh 150hp,Renault,Imported,
Mercedes-Benz EQA 250,Mercedes-Benz,Failed,"
Invalid `prisma.model.upsert()` invocation:


Unique constraint failed on the fields: (`slug`)"
Mazda 6e,Mazda,Imported,
BMW iX1 eDrive20,BMW,Imported,
Rolls-Royce Spectre,Rolls-Royce,Imported,
KGM Torres EVX,KGM,Imported,
Leapmotor T03,Leapmotor,Imported,
Skoda Enyaq 85,Skoda,Failed,"
Invalid `prisma.variant.create()` invocation:


Unique constraint failed on the fields: (`slug`)"
Zeekr 7X Performance AWD,Zeekr,Imported,
CUPRA Born 150 kW - 58 kWh,CUPRA,Imported,
MG ZS EV Long Range,MG,Imported,
Ford Puma Gen-E,Ford,Imported,
Toyota bZ4X FWD,Toyota,Imported,
Hyundai IONIQ Electric,Hyundai,Failed,"
Invalid `prisma.variant.create()` invocation:


Unique constraint failed on the fields: (`slug`)"
BMW iX3,BMW,Failed,"
Invalid `prisma.variant.create()` invocation:


Unique constraint failed on the fields: (`slug`)"
Zeekr 7X Long Range RWD,Zeekr,Imported,
BYD SEALION 7 82.5 kWh RWD Comfort,BYD,Imported,
Renault Zoe ZE50 R110,Renault,Imported,
Tesla Model S Dual Motor,Tesla,Imported,
Volkswagen ID.7 Pro,Volkswagen,Imported,
Mini Countryman E,Mini,Imported,
Skoda Enyaq iV 80,Skoda,Imported,
Kia EV3 Standard Range,Kia,Imported,
Mini Cooper SE,Mini,Failed,"
Invalid `prisma.variant.create()` invocation:


Unique constraint failed on the fields: (`slug`)"
Mercedes-Benz EQC 400 4MATIC,Mercedes-Benz,Failed,"
Invalid `prisma.variant.create()` invocation:


Unique constraint failed on the fields: (`slug`)"
Tesla Model Y Long Range RWD,Tesla,Imported,
Hyundai Kona Electric 64 kWh,Hyundai,Failed,"
Invalid `prisma.variant.create()` invocation:


Unique constraint failed on the fields: (`slug`)"
BMW i4 eDrive40,BMW,Failed,"
Invalid `prisma.variant.create()` invocation:


Unique constraint failed on the fields: (`slug`)"
Renault Scenic E-Tech EV87 220hp,Renault,Imported,
Renault Megane E-Tech EV60 220hp,Renault,Failed,"
Invalid `prisma.variant.create()` invocation:


Unique constraint failed on the fields: (`slug`)"
Lynk&Co 02,Lynk&Co,Imported,
Ford Explorer Extended Range RWD,Ford,Failed,"
Invalid `prisma.variant.create()` invocation:


Unique constraint failed on the fields: (`slug`)"
Tesla Model 3 Long Range Dual Motor,Tesla,Failed,"
Invalid `prisma.variant.create()` invocation:


Unique constraint failed on the fields: (`slug`)"
Mercedes-Benz EQB 250+,Mercedes-Benz,Failed,"
Invalid `prisma.variant.create()` invocation:


Unique constraint failed on the fields: (`slug`)"
Tesla Model 3 Performance,Tesla,Failed,"
Invalid `prisma.variant.create()` invocation:


Unique constraint failed on the fields: (`slug`)"
Opel Frontera 44 kWh,Opel,Imported,
MG MGS5 EV 64 kWh,MG,Imported,
MG MG4 Electric 64 kWh,MG,Imported,
BYD SEAL 82.5 kWh AWD Excellence,BYD,Imported,
Ford Capri Extended Range RWD,Ford,Imported,
Renault 5 E-Tech 52kWh 150hp,Renault,Imported,
BYD ATTO 2,BYD,Imported,
Tesla Model 3,Tesla,Imported,
Tesla Model Y Long Range RWD,Tesla,Failed,"
Invalid `prisma.variant.create()` invocation:


Unique constraint failed on the fields: (`slug`)"
Tesla Model Y Long Range AWD,Tesla,Imported,
Tesla Model 3 Long Range RWD,Tesla,Failed,"
Invalid `prisma.variant.create()` invocation:


Unique constraint failed on the fields: (`slug`)"
Tesla Model 3 Long Range Dual Motor,Tesla,Failed,"
Invalid `prisma.variant.create()` invocation:


Unique constraint failed on the fields: (`slug`)"
Tesla Model Y Long Range Dual Motor,Tesla,Failed,"
Invalid `prisma.variant.create()` invocation:


Unique constraint failed on the fields: (`slug`)"
Mercedes-Benz CLA 250+,Mercedes-Benz,Imported,
Kia EV3 Long Range,Kia,Imported,
BYD ATTO 3,BYD,Imported,
Tesla Model Y,Tesla,Failed,"
Invalid `prisma.variant.create()` invocation:


Unique constraint failed on the fields: (`slug`)"
Tesla Model 3,Tesla,Failed,"
Invalid `prisma.variant.create()` invocation:


Unique constraint failed on the fields: (`slug`)"
BMW i3 120 Ah,BMW,Imported,
Tesla Model Y RWD,Tesla,Imported,
